Power (W),SOH (%)
250.0,73900.68
250.0,73115.77
250.0,72307.79
250.0,71500.58
250.0,70694.164
250.0,69888.555
250.0,69083.7
250.0,68279.67
250.0,67476.4
250.0,66673.914
250.0,65983.0
250.0,65386.637
250.0,64791.332
250.0,64196.6
250.0,63602.43
250.0,63008.88
250.0,62415.87
250.0,61823.44
250.0,61231.605
250.0,60918.863
250.0,60841.457
250.0,60764.098
250.0,60686.8
250.0,60609.566
250.0,60532.387
250.0,60455.273
250.0,60378.21
250.0,60301.254
250.0,60224.32
250.0,60147.44
250.0,60070.664
250.0,59993.906
250.0,59917.227
250.0,59840.62
250.0,59764.062
250.0,59687.58
250.0,59611.133
250.0,59534.777
250.0,59458.457
250.0,59382.21
250.0,59306.023
250.0,59229.902
250.0,59153.832
250.0,59077.84
250.0,59001.9
250.0,58926.016
250.0,58850.19
250.0,58774.434
250.0,58698.74
250.0,58623.1
250.0,58547.535
250.0,58472.023
250.0,58396.57
250.0,58321.164
250.0,58245.848
250.0,58170.562
250.0,58095.367
250.0,58020.223
250.0,57945.133
250.0,57870.105
250.0,57795.137
250.0,57720.227
250.0,57645.387
250.0,57570.598
250.0,57495.875
250.0,57421.203
250.0,57346.6
250.0,57272.06
250.0,57197.574
250.0,57123.152
250.0,57048.79
250.0,56974.49
250.0,56900.242
250.0,56826.055
250.0,56751.938
250.0,56677.88
250.0,56603.867
250.0,56529.92
250.0,56456.043
250.0,56382.21
250.0,56308.445
250.0,56234.746
250.0,56161.105
250.0,56087.504
250.0,56013.99
250.0,55940.52
250.0,55867.117
250.0,55793.766
250.0,55720.47
250.0,55647.227
250.0,55574.086
250.0,55500.973
250.0,55427.91
250.0,55354.926
250.0,55281.996
250.0,55209.113
250.0,55136.293
250.0,55063.527
250.0,54990.836
250.0,54918.207
250.0,54845.62
250.0,54773.1
250.0,54700.645
250.0,54628.25
250.0,54555.88
250.0,54483.613
250.0,54411.375
250.0,54337.53
250.0,54253.934
250.0,54200.223
250.0,54146.543
250.0,54092.914
250.0,54039.316
250.0,53985.836
250.0,53932.766
-50.000000000095746,54680.402
0.0,54674.617
0.0,54616.06
0.0,54557.555
0.0,54499.09
0.0,54440.684
0.0,54382.312
0.0,54323.973
0.0,54265.69
0.0,54207.47
0.0,54149.26
0.0,54091.113
0.0,54033.01
0.0,53974.953
0.0,53916.934
0.0,53858.97
0.0,53801.035
0.0,53743.152
0.0,53685.32
0.0,53627.523
0.0,53569.78
0.0,53512.07
0.0,53454.402
0.0,53396.797
0.0,53339.223
0.0,53281.7
0.0,53224.21
0.0,53166.773
0.0,53109.387
0.0,53052.04
0.0,52994.723
0.0,52937.46
0.0,52880.242
0.0,52823.066
0.0,52765.93
0.0,52708.855
0.0,52651.812
0.0,52594.812
0.0,52537.863
0.0,52480.95
0.0,52424.074
0.0,52367.258
0.0,52310.47
0.0,52253.746
0.0,52197.047
0.0,52140.387
0.0,52083.79
0.0,52027.223
0.0,51970.707
0.0,51914.24
0.0,51857.81
0.0,51801.42
0.0,51745.08
0.0,51688.773
0.0,51632.51
0.0,51576.305
0.0,51520.133
0.0,51465.184
0.0,51413.22
0.0,51361.297
0.0,51309.41
0.0,51257.562
0.0,51205.758
0.0,51153.977
0.0,51102.254
0.0,51050.56
0.0,50998.914
0.0,50947.3
0.0,50895.727
0.0,50844.188
