latitude,longitude,elevation,time
45.651162,13.804903,99.2,2025-04-11 13:05:02+00:00
45.651153,13.804919,99.3,2025-04-11 13:05:03+00:00
45.651144,13.804935,99.3,2025-04-11 13:05:04+00:00
45.651135,13.804951,99.4,2025-04-11 13:05:05+00:00
45.651112,13.804979,99.6,2025-04-11 13:05:06+00:00
45.651103,13.804985,99.6,2025-04-11 13:05:07+00:00
45.651071,13.805001,99.8,2025-04-11 13:05:08+00:00
45.651056,13.805005,99.9,2025-04-11 13:05:09+00:00
45.651031,13.805037,100.0,2025-04-11 13:05:10+00:00
45.651023,13.805049,100.1,2025-04-11 13:05:11+00:00
45.650998,13.805085,100.3,2025-04-11 13:05:12+00:00
45.650991,13.805096,100.3,2025-04-11 13:05:13+00:00
45.65097,13.805122,100.5,2025-04-11 13:05:14+00:00
45.650944,13.805149,100.7,2025-04-11 13:05:15+00:00
45.650933,13.805156,100.7,2025-04-11 13:05:16+00:00
45.650907,13.80519,100.9,2025-04-11 13:05:17+00:00
45.650898,13.805203,101.0,2025-04-11 13:05:18+00:00
45.650874,13.805243,101.2,2025-04-11 13:05:19+00:00
45.650864,13.805256,101.2,2025-04-11 13:05:20+00:00
45.650835,13.80528,101.4,2025-04-11 13:05:21+00:00
45.650825,13.805288,101.5,2025-04-11 13:05:22+00:00
45.650813,13.805324,101.6,2025-04-11 13:05:23+00:00
45.650812,13.805338,101.7,2025-04-11 13:05:24+00:00
45.65079,13.805351,101.8,2025-04-11 13:05:25+00:00
45.650782,13.805359,101.9,2025-04-11 13:05:26+00:00
45.650774,13.805367,101.9,2025-04-11 13:05:27+00:00
45.650746,13.80539,102.1,2025-04-11 13:05:28+00:00
45.650731,13.805425,102.2,2025-04-11 13:05:29+00:00
45.650722,13.80544,102.3,2025-04-11 13:05:30+00:00
45.650699,13.80548,102.5,2025-04-11 13:05:31+00:00
45.650687,13.805497,102.6,2025-04-11 13:05:32+00:00
45.650679,13.805497,102.6,2025-04-11 13:05:33+00:00
45.65067,13.805535,102.7,2025-04-11 13:05:34+00:00
45.650648,13.80558,102.9,2025-04-11 13:05:35+00:00
45.650651,13.805604,103.0,2025-04-11 13:05:36+00:00
45.650639,13.80563,103.1,2025-04-11 13:05:37+00:00
45.650627,13.805655,103.2,2025-04-11 13:05:38+00:00
45.650615,13.80568,103.3,2025-04-11 13:05:39+00:00
45.650605,13.805698,103.4,2025-04-11 13:05:40+00:00
45.650614,13.805719,103.5,2025-04-11 13:05:41+00:00
45.650596,13.805746,103.6,2025-04-11 13:05:42+00:00
45.650586,13.805784,103.8,2025-04-11 13:05:43+00:00
45.650592,13.805807,103.9,2025-04-11 13:05:44+00:00
45.650586,13.805835,104.0,2025-04-11 13:05:45+00:00
45.650568,13.805877,104.1,2025-04-11 13:05:46+00:00
45.650555,13.805891,104.2,2025-04-11 13:05:47+00:00
45.65054,13.805925,104.4,2025-04-11 13:05:48+00:00
45.650524,13.805966,104.5,2025-04-11 13:05:49+00:00
45.650528,13.805983,104.6,2025-04-11 13:05:50+00:00
45.650516,13.805994,104.7,2025-04-11 13:05:51+00:00
45.650503,13.806004,104.7,2025-04-11 13:05:52+00:00
45.650491,13.806015,104.8,2025-04-11 13:05:53+00:00
